time-(ms)-h-i,voltage-near-axon-(microV)-h-i
-150.749.995.858,-204.302.240.343
-150.550.995.852,-204.023.238.003
-150.351.995.847,-204.132.794.765
-150.152.995.841,-204.013.509.931
-149.953.995.836,-204.205.023.898
-14.975.499.583,-204.188.845.812
-149.555.995.825,-204.425.708.536
-149.356.995.819,-204.497.437.579
-149.157.995.814,-204.692.518.699
-148.958.995.808,-202.715.598.507
-148.759.995.803,-202.313.267.881
-148.560.995.797,-198.102.943.749
-148.361.995.791,-186.920.792.029
-148.162.995.786,-186.661.089.083
-14.796.399.578,-186.637.198.637
-147.764.995.775,-186.073.484.223
